aweme_id,comment_count,digg_count,download_count,share_count,duration,hug_face_sntmt,my_sntmt
7244947111890914561,2993,680191,28535,19723,9287,0.8143102288,0.7
7245360703190650155,5130,2836547,19577,45236,15634,0.755297178,0.3
7242455958713126190,4047,3636609,3452,41059,59372,0.5999591649,0.5
7239630776420093227,2413,651397,41672,13651,5934,0.3485199749,0.7
7252605719659187498,1555,66302,11310,17873,136486,0.8046413362,0.6
7222466751584357675,4527,631787,36678,7365,27050,0.274975982,0.3333333333
7244448124025048347,567,104797,1660,646,16625,0.5358516706,0.4444444444
7248396708529376554,10404,1914388,9702,117572,8148,0.8947140455,0.2
7223039337921776938,66,72293,6,4345,11500,0.7743061648,0.5555555556
7235640556846648622,37608,8814045,322699,515295,8151,0.5805240452,0.5
7245648965654596910,280,243279,2024,6975,86054,0.4944555044,0.3
7251564119164276010,1876,488606,10678,8366,22336,0.5010968506,0.4
7233533212549483782,575,233074,74416,55342,17971,0.6354118228,0.3
7224598622044998958,26666,6369256,46410,489272,25034,0.6902301967,0.3
7238664396527062318,523,61737,2,3936,10600,0.3478454828,0.1
7237497850085641515,7845,1401592,34791,93473,17476,0.5473676741,0.8
7249506052541107499,509,90511,0,6869,17234,0.7020586371,0.5
7246681467584105755,1733,358588,6397,2859,14558,0.8067671955,0.6
7228734249720139054,107,9016,17,84,30038,0.6941476583,0.6
7247481761477741866,174,493546,35832,12109,12422,0.8989979863,0.4
7225092501646953770,439,15221,0,907,14117,0.7952619016,0.6
7252820205578063147,4578,155765,3486,50939,67478,0.3632970273,0.4
7255030068634766634,57,775,1,0,12500,0.6775482774,0.7
7245479869176597806,726,241236,70,22926,5641,0.9998188436,1
7252517715888393514,791,110138,838,6608,7244,0.5802666783,0.5
7253081077286276379,43411,4194595,51240,94155,6965,0.596017313,0.5
